2016-10-20 20:17:58 status unpacked sed:amd64 4.2.2-4+b1
2016-10-20 20:17:58 status unpacked sed:amd64 4.2.2-4+b1
2016-10-20 20:17:58 install sensible-utils:all <none> 0.0.9
2016-10-20 20:17:58 status half-installed sensible-utils:all 0.0.9
2016-10-20 20:17:58 status unpacked sensible-utils:all 0.0.9
2016-10-20 20:17:58 status unpacked sensible-utils:all 0.0.9
2016-10-20 20:17:58 install login:amd64 <none> 1:4.2-3+deb8u1
2016-10-20 20:17:58 status half-installed login:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 status unpacked login:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 status unpacked login:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 install passwd:amd64 <none> 1:4.2-3+deb8u1
2016-10-20 20:17:59 status half-installed passwd:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-10-20 20:17:59 install libslang2:amd64 <none> 2.3.0-2
2016-10-20 20:17:59 status half-installed libslang2:amd64 2.3.0-2
2016-10-20 20:17:59 status unpacked libslang2:amd64 2.3.0-2
2016-10-20 20:18:00 status unpacked libslang2:amd64 2.3.0-2
2016-10-20 20:18:00 install startpar:amd64 <none> 0.59-3
2016-10-20 20:18:00 status half-installed startpar:amd64 0.59-3
2016-10-20 20:18:00 status unpacked startpar:amd64 0.59-3
2016-10-20 20:18:00 status unpacked startpar:amd64 0.59-3
2016-10-20 20:18:00 install libsystemd0:amd64 <none> 215-17+deb8u5
2016-10-20 20:18:00 status half-installed libsystemd0:amd64 215-17+deb8u5
2016-10-20 20:18:00 status unpacked libsystemd0:amd64 215-17+deb8u5
2016-10-20 20:18:00 status unpacked libsystemd0:amd64 215-17+deb8u5
2016-10-20 20:18:00 install libudev1:amd64 <none> 215-17+deb8u5
